nr;modul;route;titel;zweck
1;OFFICE;/business/office/dashboard;Office Dashboard;Zentrale Verwaltungsstartseite mit Tagesübersicht, Aufgaben, Rechnungen, Dokumenten, QM, Portalen und Modulstatus.
2;OFFICE;/business/office/clients;Klient:innenliste;Alle Klient:innen suchen, filtern, öffnen und neu aufnehmen.
3;OFFICE;/business/office/clients/new;Klient:innenaufnahme Wizard;Kontextbasierte Neuaufnahme mit Leistungsart-Auswahl zuerst.
4;OFFICE;/business/office/clients/[id];Klient:innenakte;Zentrale Personenakte als Hauptarbeitswerkzeug.
5;OFFICE;/business/office/clients/[id]/edit;Klient:in bearbeiten;Stammdaten, Kontakt, Kasse, Leistungsarten, Module bearbeiten.
6;OFFICE;/business/office/clients/[id]/documents;Klient:innen Dokumente;Dokumentenakte der Person mit Upload, Kategorien, Portal-Freigabe.
7;OFFICE;/business/office/clients/[id]/contracts;Klient:innen Verträge;Verträge aus Vorlagen erstellen, befüllen, signieren, speichern.
8;OFFICE;/business/office/clients/[id]/consents;Einwilligungen;Datenschutz, Schweigepflicht, Portal, Foto, Abrechnungsvollmacht.
9;OFFICE;/business/office/clients/[id]/modules;Module der Klient:in;Assist/Pflege/Beratung/Stationär/Akademie zuordnen.
10;OFFICE;/business/office/clients/[id]/timeline;Timeline;Alle Aktenereignisse chronologisch anzeigen.
11;OFFICE;/business/office/clients/[id]/medication;Medikation in Akte;Medikationsplan und Einnahmeschema in der Akte.
12;OFFICE;/business/office/clients/[id]/vitals;Vitalwerte in Akte;Messungen, Verlauf, Grenzwerte.
13;OFFICE;/business/office/employees;Mitarbeitende;Mitarbeitendenliste, Zugänge, Rollen, Module.
14;OFFICE;/business/office/employees/new;Mitarbeitende anlegen;Neue Mitarbeitende inklusive generiertem Zugang.
15;OFFICE;/business/office/employees/[id];Mitarbeitendenakte;Profil, Qualifikationen, Einsätze, Dokumente, Schulungen.
16;OFFICE;/business/office/documents;Dokumentenzentrale;Alle Dokumente zentral verwalten.
17;OFFICE;/business/office/documents/upload;Dokument hochladen;Datei/Fotos/Scan vorbereitet mit Metadaten speichern.
18;OFFICE;/business/office/invoices;Rechnungen;Rechnungen und Abrechnungsstatus zentral.
19;OFFICE;/business/office/invoices/new;Rechnung erstellen;Rechnung aus Modul-Abrechnungsquellen erzeugen.
20;OFFICE;/business/office/invoices/[id];Rechnung Detail;Positionen, Zahlung, Mahnung, PDF vorbereitet.
21;OFFICE;/business/office/templates;Vorlagenübersicht;System- und eigene Vorlagen.
22;OFFICE;/business/office/templates/new;Vorlage erstellen;Neue Vorlage mit Platzhaltern, Kategorie und Version.
23;OFFICE;/business/office/templates/[id];Vorlage Detail;Vorlage bearbeiten, Vorschau, aktivieren, versionieren.
24;OFFICE;/business/office/qm;QM Übersicht;QM-Handbuch, Maßnahmen, Richtlinien, Prüfpakete.
25;OFFICE;/business/office/qm/manual;QM-Handbuch;Kapitelbaum, Inhalte, Versionen.
26;OFFICE;/business/office/qm/manual/[id];QM-Kapitel;Kapitel bearbeiten, Version freigeben, Lesebestätigung.
